Data Source,World Development Indicators,,,
,,,,
Low & middle income,LMY,Military expenditure (current USD),MS.MIL.XPND.CD,5.76E+11
Lesotho,LSO,Military expenditure (current USD),MS.MIL.XPND.CD,44845967.46
Late-demographic dividend,LTE,Military expenditure (current USD),MS.MIL.XPND.CD,4.11E+11
Lithuania,LTU,Military expenditure (current USD),MS.MIL.XPND.CD,1093819973
Luxembourg,LUX,Military expenditure (current USD),MS.MIL.XPND.CD,428769402.9
Latvia,LVA,Military expenditure (current USD),MS.MIL.XPND.CD,691894312.6
"Macao SAR, China",MAC,Military expenditure (current USD),MS.MIL.XPND.CD,
St. Martin (French part),MAF,Military expenditure (current USD),MS.MIL.XPND.CD,
Morocco,MAR,Military expenditure (current USD),MS.MIL.XPND.CD,3721323837
Monaco,MCO,Military expenditure (current USD),MS.MIL.XPND.CD,
Moldova,MDA,Military expenditure (current USD),MS.MIL.XPND.CD,43009328.57
Madagascar,MDG,Military expenditure (current USD),MS.MIL.XPND.CD,76576631.11
Maldives,MDV,Military expenditure (current USD),MS.MIL.XPND.CD,
Middle East & North Africa,MEA,Military expenditure (current USD),MS.MIL.XPND.CD,1.41E+11
Mexico,MEX,Military expenditure (current USD),MS.MIL.XPND.CD,6650808254
Marshall Islands,MHL,Military expenditure (current USD),MS.MIL.XPND.CD,
Middle income,MIC,Military expenditure (current USD),MS.MIL.XPND.CD,5.71E+11
North Macedonia,MKD,Military expenditure (current USD),MS.MIL.XPND.CD,146093380.4
Mali,MLI,Military expenditure (current USD),MS.MIL.XPND.CD,475638185.7
Malta,MLT,Military expenditure (current USD),MS.MIL.XPND.CD,83636363.64
Myanmar,MMR,Military expenditure (current USD),MS.MIL.XPND.CD,1495509898
Middle East & North Africa (excluding high income),MNA,Military expenditure (current USD),MS.MIL.XPND.CD,43450156866
Montenegro,MNE,Military expenditure (current USD),MS.MIL.XPND.CD,77656739.81
Mongolia,MNG,Military expenditure (current USD),MS.MIL.XPND.CD,99729483.17
Northern Mariana Islands,MNP,Military expenditure (current USD),MS.MIL.XPND.CD,
Mozambique,MOZ,Military expenditure (current USD),MS.MIL.XPND.CD,217451322.3
Mauritania,MRT,Military expenditure (current USD),MS.MIL.XPND.CD,162397955
Mauritius,MUS,Military expenditure (current USD),MS.MIL.XPND.CD,21831361.86
Malawi,MWI,Military expenditure (current USD),MS.MIL.XPND.CD,87020933.45
Malaysia,MYS,Military expenditure (current USD),MS.MIL.XPND.CD,3769026335
North America,NAC,Military expenditure (current USD),MS.MIL.XPND.CD,7.57E+11
Namibia,NAM,Military expenditure (current USD),MS.MIL.XPND.CD,414059490
New Caledonia,NCL,Military expenditure (current USD),MS.MIL.XPND.CD,
Niger,NER,Military expenditure (current USD),MS.MIL.XPND.CD,247632082.8
Nigeria,NGA,Military expenditure (current USD),MS.MIL.XPND.CD,1860260430
Nicaragua,NIC,Military expenditure (current USD),MS.MIL.XPND.CD,76931506.85
Netherlands,NLD,Military expenditure (current USD),MS.MIL.XPND.CD,12000671742
